cell_id,make,V_top,V_bottom,V_plateau,dV_total,n_points_ocv,gitt_n_pulses,mean_pulse_duration_s,dV_per_sqrt_t,GITT_tau_diff_s,GITT_tau_n,DCIR_R0_mOhm,DCIR_R0_n,HPPC_R0_mOhm,HPPC_R0_n,HPPC_R1_mOhm,HPPC_R1_n,capacity_Ah,capacity_chg_Ah,coulombic_efficiency_pct,duration_h,rpt_n_discharge_segments,self_disch_dV_per_day,self_disch_dsoc_per_day,self_disch_rest_duration_h,n_cycles,soh_first,soh_last,fade_pct,monotone_frac
0031,REPT,3.31901728,2.8060329200000003,3.258698,0.5129843599999999,73279.0,0.0,,,777.6906015147943,14.0,1.0815981571162527,1.0,0.8360791075237838,9.0,0.23667359995106094,8.0,151.6136316710406,151.84232019695813,100.09873039377443,154.77047083333332,5.0,-0.005285194655198121,0.010570389310396241,168.00798277777776,212,0.5709533333333333,0.5489733333333333,2.198,0.6398104265402843
0032,REPT,3.33249914,2.81622962,3.267005,0.5162695199999998,72075.0,0.0,,,778.6856889615427,15.0,1.177634692606886,1.0,0.894395355627828,9.0,0.2171018305399775,8.0,149.3086011771942,149.50471565636508,169.69630219303312,152.6708152777778,6.0,-0.0045445981412008075,0.009089196282401615,168.00801805555557,230,0.00444,0.9434866666666667,-93.90466666666667,0.777292576419214
0034,REPT,3.3200943,2.8102253,3.263327,0.5098690000000001,144863.0,101.0,360.06099999998696,-0.0013278350822701656,823.5014880006595,214.0,1.1363060134942922,9.0,1.0085474732047295,18.0,0.2453277489902424,16.0,150.35437830354527,150.55494262078642,99.86678330598131,4493.1785125,16.0,-0.0037128417850165194,0.007425683570033039,172.23906722222222,204,0.2566133333333333,0.9461466666666667,-68.95333333333333,0.7733990147783252
0037,REPT,3.3234418500000005,2.8133842000000002,3.25974,0.5100576500000003,71766.0,0.0,,,764.7671192567069,15.0,1.6679609965771451,1.0,1.4619465684423019,9.0,0.22419918667038852,8.0,148.1378440240733,148.19563990536497,99.9802782457915,34.987589166666666,6.0,-0.004033277153369913,0.008066554306739826,168.00820194444444,234,0.0043,0.9081666666666667,-90.38666666666667,0.6695278969957081
0040,REPT,3.3233926000000005,2.8156141999999997,3.263923,0.5077784000000007,144269.0,100.0,360.0470000000205,-0.001228277998588009,826.9978802186874,218.0,1.0876455723494745,3.0,0.9071025128288425,18.0,0.24332643361963785,16.0,153.3051264673191,153.33833099087332,104.71566325035441,4449.430415555556,15.0,-0.005497035024576446,0.010994070049152892,169.76133638888888,216,0.43228,0.9507399999999999,-51.84599999999999,0.8372093023255814
0043,REPT,3.32993582,2.8298500200000003,3.26731,0.5000857999999999,147103.0,103.0,360.0569999999716,-0.0012803219208234744,837.0493741130048,218.0,1.0360028853275434,3.0,0.8633446300588901,18.0,0.22443028544496535,15.0,154.23347603121198,154.17571640767167,156.7911261029094,3325.799577777778,12.0,-0.003258547610763174,0.006517095221526348,118.75610333333334,213,1.02564,1.0018733333333334,2.3766666666666714,0.9858490566037735
0046,REPT,3.3305481500000003,2.83096107,3.267691,0.4995870800000004,148638.0,104.0,360.06400000001304,-0.001278748005094339,840.224275075416,219.0,0.9243795449569322,3.0,0.7397562259136141,18.0,0.22103713811137884,15.0,153.66057026326428,153.34231036715636,100.28362698153754,4451.610984166667,13.0,-0.0025648072718263545,0.005129614543652709,172.23891583333332,213,0.6182133333333333,0.6120066666666667,0.6206666666666583,0.8066037735849056
0049,REPT,,,,,,,,,,,,,,,,,,,,,,,,,215,0.26886,0.9491533333333333,-68.02933333333333,0.9018691588785047
0050,REPT,,,,,,,,,,,,,,,,,,,,,,,,,209,0.5250666666666667,0.9397733333333333,-41.470666666666666,0.8990384615384616
0056,REPT,,,,,,,,,,,,,,,,,,,,,,,,,230,0.00978,0.95488,-94.50999999999999,0.8427947598253275
0057,REPT,3.32835366,2.8180674199999998,3.26509,0.5102862400000001,139815.0,99.0,359.95899999997346,-0.0013845057189779241,825.8127548210412,208.0,1.0038118268977372,3.0,0.8590309525129398,18.0,0.22546299171664805,15.0,145.7102519884331,145.90318241889258,162.3283469316647,3323.4009797222225,17.0,-0.002912022331337161,0.005824044662674322,169.76444277777776,215,0.9782133333333334,0.9570666666666667,2.1146666666666647,1.0
0065,REPT,,,,,,,,,,,,,,,,,,,,,,,,,230,0.13886666666666667,0.9441533333333333,-80.52866666666667,0.7816593886462883
0074,REPT,,,,,,,,,,,,,,,,,,,,,,,,,208,1.0185266666666666,0.9984733333333332,2.0053333333333367,0.9951690821256038
0078,REPT,,,,,,,,,,,,,,,,,,,,,,,,,213,1.0165133333333334,0.9939199999999999,2.2593333333333465,1.0
0080,REPT,,,,,,,,,,,,,,,,,,,,,,,,,211,0.5919866666666667,0.5833533333333333,0.8633333333333382,0.6761904761904762
0087,REPT,,,,,,,,,,,,,,,,,,,,,,,,,211,1.0263799999999998,1.0064133333333332,1.9966666666666688,0.9904761904761905
0090,REPT,,,,,,,,,,,,,,,,,,,,,,,,,236,0.002873333333333333,0.9215,-91.86266666666667,0.7872340425531915
